F,ein,D,mu
10000,0.08751622774009714,5.406766492639341e-6,8.905180297939559e-5
20000,0.08765267847801737,5.41592000722126e-6,8.905499963047558e-5
30000,0.08778853257347535,5.425239702868551e-6,8.906101159453164e-5
50000,0.08804595303676105,5.444396398295507e-6,8.90821927106549e-5
70000,0.08829655091392208,5.4642014153577756e-6,8.911014848911028e-5
90000,0.0885397451052448,5.4846967103563615e-6,8.914878715772028e-5
100000,0.08865675596519502,5.495199366566898e-6,8.917188484734483e-5
200000,0.0896928625346766,5.609663937398523e-6,8.953490207513546e-5
300000,0.09048853202552706,5.741551392138686e-6,9.014001831122198e-5
500000,0.09139586735826305,6.0588088115864435e-6,9.205471843205888e-5
700000,0.09152205124936981,6.448857632554301e-6,9.49032663605432e-5
900000,0.09107040750494574,6.91196543465666e-6,9.86037236127174e-5
