T,kcharge,kphonon
200,1.9338419058199285e-5,0.0103639080884945
250,2.952036625334897e-5,0.017586830541748193
300,4.0707170071022974e-5,0.02524625181304169
350,5.228097550285208e-5,0.032857553287550904
